Destination ID,Country,City,Attraction,Type,Average Rating (1-10),Best Time to Visit,Average Temperature (°C),Annual Visitors (Millions),Entry Fee ($),Nearby Landmark,Transportation,
1,Italy,Rome,Colosseum,Historical Site,9.2,Spring,20,,15,Forum,Metro,
2,France,Paris,Eiffel Tower,Iconic Landmark,9.5,,25,10.2,25,Louvre,Bus,
3,USA,New York,Statue of Liberty,Iconic Landmark,9.4,Spring,18,,20,Central Park,Subway,
4,Japan,Tokyo,Shibuya Crossing,Urban Landmark,8.9,Autumn,16,9.1,,Tokyo Tower,Train,
5,Australia,Sydney,Opera House,Architectural Wonder,9.3,Summer,22,8.7,30,Harbour Bridge,Ferry,
6,UK,London,Buckingham Palace,Historical Site,9,Summer,15,5.4,,Westminster Abbey,Bus,
7,Spain,Barcelona,Sagrada Familia,Architectural Wonder,9.1,Spring,18,4.3,20,Park Güell,Metro,
8,USA,San Francisco,Golden Gate Bridge,Iconic Landmark,9,Summer,17,,10,Alcatraz,Bus,
9,China,Beijing,Great Wall of China,Historical Site,9.3,Spring,14,10,0,Forbidden City,Train,
10,India,Agra,Taj Mahal,Historical Site,9.6,Winter,20,,20,Agra Fort,Car,
11,South Africa,Cape Town,Table Mountain,Natural Landmark,8.8,Summer,,2.4,15,Cape Point,Cable Car,
12,Brazil,Rio de Janeiro,Christ the Redeemer,Iconic Landmark,9.4,Summer,25,3.2,,Copacabana Beach,Bus,
13,Thailand,Bangkok,Grand Palace,Historical Site,8.7,Winter,28,9,15,Wat Arun,Boat,
14,Canada,Toronto,CN Tower,Architectural Wonder,8.9,Spring,,12,3.7,25,Rogers Centre,Subway
15,Mexico,Chichen Itza,Mayan Ruins,Historical Site,9.2,Winter,24,,2.9,El Castillo,Bus,
16,Netherlands,Amsterdam,Anne Frank House,Historical Site,8.8,Spring,11,1.5,12,Rijksmuseum,Bike,
17,Turkey,Istanbul,Blue Mosque,Historical Site,9.1,Spring,15,3,,Topkapi Palace,Tram,
18,Portugal,Lisbon,Belem Tower,Historical Site,8.7,Spring,20,1.8,10,,Bus,
19,Egypt,Cairo,Great Pyramids of Giza,Historical Site,9.4,Winter,20,14.5,,Egyptian Museum,Car,
20,United Arab Emirates,Dubai,Burj Khalifa,Iconic Landmark,9.2,Winter,24,11.1,40,Dubai Mall,Metro,
21,Greece,Athens,Parthenon,Historical Site,9,Spring,22,3.6,15,Acropolis Museum,Bus,
22,Switzerland,Zurich,Old Town,Historical Site,8.6,Winter,10,1.2,0,Lake Zurich,Tram,
23,Austria,Vienna,Schonbrunn Palace,Historical Site,9.1,Spring,15,1.9,20,St. Stephen's Cathedral,Subway,
24,Denmark,Copenhagen,Tivoli Gardens,Amusement Park,8.9,Summer,17,2.3,,Nyhavn,Bus,
25,Sweden,Stockholm,ABBA Museum,Music Museum,8.7,Winter,5,1.5,,Vasa Museum,Subway,
26,Finland,Helsinki,Sibelius Monument,Historical Landmark,8.5,Spring,10,,1.1,0,Temppeliaukio Church,Bus
27,Chile,Santiago,San Cristobal Hill,Natural Landmark,8.8,Summer,18,1.4,,Plaza de Armas,Cable Car,
28,Peru,Lima,Machu Picchu,Historical Site,9.5,Winter,22,3.3,0,,Train,
29,Colombia,Bogotá,Gold Museum,Museum,8.9,Spring,16,2,0,Monserrate,Bus,
30,Panama,Panama City,Panama Canal,Engineering Marvel,9,Winter,27,4.7,0,Casco Viejo,Boat,
